number, runtime (milliseconds), runtime (nanoseconds), prime factors
613141250,0,141974,[2; 5; 5; 5; 5; 31; 15823]
614524851,0,3849,[3; 3; 41; 41; 151; 269]
616832690,641,632367437,[2; 5; 61683269]
620361557,0,6716418,[821; 755617]
623259296,0,22665,[2; 2; 2; 2; 2; 11; 757; 2339]
623360088,0,5929144,[2; 2; 2; 3; 3; 13; 665983]
623567329,0,304048,[7; 11; 11; 23; 32009]
626932335,406,406542969,[3; 5; 41795489]
627703632,0,66283,[2; 2; 2; 2; 3; 3; 601; 7253]
629419738,2906,2894115288,[2; 314709869]
630512978,0,3253439,[2; 863; 365303]
635689805,32,24677467,[5; 47; 2705063]
636048009,31,33678306,[3; 3; 19; 3719579]
638584815,31,34920582,[3; 5; 11; 3870211]
644152221,672,668540985,[3; 3; 71572469]
644407132,1500,1506452781,[2; 2; 161101783]
646572977,94,95398275,[61; 10599557]
646606461,0,439180,[3; 19; 229; 49537]
649613042,250,248617780,[2; 13; 24985117]
652712780,0,120593,[2; 2; 5; 2447; 13337]
661827017,0,184738,[17; 1879; 20719]
662902280,0,127863,[2; 2; 2; 5; 4049; 4093]
663881989,0,148389,[101; 1087; 6047]
664596657,15,5040520,[3; 3; 3; 3; 17; 482641]
666610534,0,38915,[2; 89; 907; 4129]
671653952,0,288225,[2; 2; 2; 2; 2; 2; 17; 19; 32491]
678919410,0,127007,[2; 3; 3; 5; 13; 41; 14153]
683634617,422,417803852,[17; 40213801]
685015953,2141,2140268614,[3; 228338651]
685709733,0,448588,[3; 4513; 50647]
687153762,0,4740321,[2; 3; 3; 71; 537679]
690070167,16,23703318,[3; 3; 29; 2643947]
695307311,6563,6562810222,[695307311]
695849358,0,754346,[2; 3; 1361; 85213]
696406541,31,44921227,[139; 5010119]
696620266,16,631187,[2; 89; 89; 43973]
698970160,0,258291,[2; 2; 2; 2; 5; 7; 43; 29027]
699817709,0,256581,[19; 1277; 28843]
702066118,0,219804,[2; 13; 1103; 24481]
703467792,0,42763,[2; 2; 2; 2; 3; 3; 1049; 4657]
704203091,0,68849,[199; 463; 7643]
707462002,234,245859542,[2; 13; 27210077]
711210709,594,591401394,[11; 64655519]
715370141,0,1571554,[4051; 176591]
716704504,0,458851,[2; 2; 2; 37; 47; 51517]
720130117,0,21809,[7; 7; 29; 229; 2213]
721966781,16,3481367,[31; 61; 381791]
723427815,0,284376,[3; 5; 11; 137; 32003]
726347242,3266,3268355221,[2; 363173621]
727949365,0,211251,[5; 11; 13; 43; 23677]
734932684,1656,1650582929,[2; 2; 183733171]
736428570,0,8125,[2; 3; 5; 107; 383; 599]
737876687,0,174047,[17; 2237; 19403]
738374728,0,29079,[2; 2; 2; 7; 7; 7; 7; 13; 2957]
743274128,422,421092357,[2; 2; 2; 2; 46454633]
749191579,0,53026,[191; 683; 5743]
749819267,0,385726,[17417; 43051]
752048719,15,16064066,[421; 1786339]
752419540,0,7270,[2; 2; 5; 113; 577; 577]
753915456,0,8125,[2; 2; 2; 2; 2; 2; 3; 3; 7; 17; 17; 647]
755174533,6766,6763111789,[755174533]
760792365,47,50229019,[3; 3; 3; 5; 5635499]
760960669,969,976989449,[7; 108708667]
762934842,16,5329174,[2; 3; 3; 3; 29; 487187]
763751354,0,60296,[2; 61; 953; 6569]
768871000,0,3421,[2; 2; 2; 5; 5; 5; 53; 89; 163]
769281351,2281,2290532742,[3; 256427117]
770832837,766,764419921,[3; 3; 85648093]
775340201,15,13148459,[19; 29; 1407151]
776165578,3454,3448835104,[2; 388082789]
779864628,0,93652,[2; 2; 3; 6287; 10337]
783328842,0,349377,[2; 3; 3; 1109; 39241]
783737060,15,20408826,[2; 2; 5; 17; 2305109]
785170740,125,121604106,[2; 2; 3; 5; 13086179]
785538774,0,71415,[2; 3; 3; 19; 499; 4603]
785574739,16,12967997,[541; 1452079]
794652846,0,4727920,[2; 3; 13; 19; 536203]
794811082,281,277155499,[2; 13; 30569657]
795523094,3563,3555612288,[2; 397761547]
799818207,0,2484125,[3; 947; 281527]
801048825,0,10461207,[3; 3; 3; 5; 5; 1186739]
801221946,0,11546,[2; 3; 7; 61; 277; 1129]
801387455,0,10691,[5; 11; 79; 181; 1019]
801548097,0,20527,[3; 7; 53; 337; 2137]
805382059,31,25377505,[283; 2845873]
808635936,0,390429,[2; 2; 2; 2; 2; 3; 191; 44101]
809127815,1438,1439642258,[5; 161825563]
811984220,0,165067,[2; 2; 5; 47; 47; 18379]
815317404,62,54811117,[2; 2; 3; 11; 6176647]
815466402,406,409578742,[2; 3; 3; 45303689]
819890936,0,10264,[2; 2; 2; 23; 47; 113; 839]
821372738,3657,3660239758,[2; 410686369]
821802149,15,4039858,[7; 263; 446389]
822434750,16,29184301,[2; 5; 5; 5; 3289739]
822558439,16,15179292,[479; 1717241]
823513456,31,26908433,[2; 2; 2; 2; 17; 3027623]
824795559,0,13685,[3; 3; 7; 97; 139; 971]
826692257,0,733392,[9949; 83093]
826929089,16,5814966,[7; 181; 652667]
827998177,0,9441301,[773; 1071149]
828982334,78,79984212,[2; 47; 8818961]
831043553,7406,7399649511,[831043553]
831270904,938,931969438,[2; 2; 2; 103908863]
839699596,1875,1885472807,[2; 2; 209924899]
841570047,281,279612256,[3; 3; 3; 31169261]
844775671,328,331282829,[23; 36729377]
849404151,0,623063,[3; 3; 3; 3; 149; 70379]
852863316,16,13515368,[2; 2; 3; 47; 1512169]
855396142,3844,3830980706,[2; 427698071]
858487056,0,3220510,[2; 2; 2; 2; 3; 7; 7; 365003]
859165883,406,402685284,[19; 45219257]
861891124,1922,1931731245,[2; 2; 215472781]
863203327,1094,1094617415,[7; 123314761]
863334952,16,15674919,[2; 2; 2; 61; 1769129]
866809960,0,5559,[2; 2; 2; 5; 137; 367; 431]
866949760,0,169770,[2; 2; 2; 2; 2; 2; 2; 5; 71; 19079]
867610150,0,71415,[2; 5; 5; 11; 199; 7927]
867729335,15,7388231,[5; 11; 19; 830363]
870062650,156,155605702,[2; 5; 5; 17401253]
870085478,0,50461,[2; 43; 1867; 5419]
873261104,500,507248608,[2; 2; 2; 2; 54578819]
877927325,32,28449626,[5; 5; 11; 3192463]
878089523,78,76380114,[103; 8525141]
